,page_url
0,https://www.thisiscolossal.com/2022/07/great-women-painters-book/
1,https://www.thisiscolossal.com/2022/07/cai-wei-qun-weaving-book/
2,https://www.thisiscolossal.com/2022/07/omozoc-tissue-box-video/
3,https://www.thisiscolossal.com/2022/07/karolina-romanowska-ceramic-masks/
4,https://www.thisiscolossal.com/2022/07/tim-okamura-portraits/
5,https://www.thisiscolossal.com/2022/07/jason-rinehart-rainbow-lightning/
6,https://www.thisiscolossal.com/2022/07/acorn-timelapse/
7,https://www.thisiscolossal.com/2022/07/tag-smith-wooden-birds/
8,https://www.thisiscolossal.com/2022/07/carlos-cabo-ceramic-sculptures/
9,https://www.thisiscolossal.com/2022/07/michael-velliquette-paper-sculptures/
10,https://www.thisiscolossal.com/2022/07/oleg-oprisco-photographs/
11,https://www.thisiscolossal.com/2022/07/nervous-system-cosmic-cliffs/
12,https://www.thisiscolossal.com/2022/07/getty-black-history-culture-collection/
13,https://www.thisiscolossal.com/2022/07/cincinnati-art-museum-magic-mirror/
14,https://www.thisiscolossal.com/2022/07/kristof-santy-la-grande-bouffe/
15,https://www.thisiscolossal.com/2022/07/elke-vogelsang-cat-portraits/
16,https://www.thisiscolossal.com/2022/07/james-webb-space-telescope/
17,https://www.thisiscolossal.com/2022/07/yulia-brodskaya-phoenix/
18,https://www.thisiscolossal.com/2022/07/hitokotonushi-shrine-bees/
19,https://www.thisiscolossal.com/2022/07/marianne-huotari-ceramic-ryijy/
20,https://www.thisiscolossal.com/2022/07/raku-inoue-jurassic-nature/
21,https://www.thisiscolossal.com/2022/07/jochen-gerner-drawings/
22,https://www.thisiscolossal.com/2022/07/laura-fischer-woven-stones/
23,https://www.thisiscolossal.com/2022/07/sasha-vinogradova-jewel-insects/
24,https://www.thisiscolossal.com/2022/07/lana-crooks-skeletal-sculptures/
25,https://www.thisiscolossal.com/2022/07/warren-king-chinatown-figures/
26,https://www.thisiscolossal.com/2022/07/hiroki-takeda-watercolor-dogs/
27,https://www.thisiscolossal.com/2022/07/collin-van-der-sluijs-collision/
